Nawisko aktualne,Liczba
GRZEGORCZYK,7156
RYBICKI,7138
CICHY,7136
TROJANOWSKI,7127
MIKULSKI,7123
WOLNY,7117
FRANKOWSKI,7093
MALISZEWSKI,7093
NAWROT,7022
WĄSIK,7019
DUDZIŃSKI,7018
RADOMSKI,7015
FRĄCKOWIAK,6993
LACH,6991
KACZOROWSKI,6948
BOREK,6931
FIJAŁKOWSKI,6893
GRZESIAK,6849
GAŁĄZKA,6847
BIAŁAS,6845
MIKA,6833
ŚLUSARCZYK,6821
BOGUCKI,6805
SOKÓŁ,6786
STEC,6780
PAWELEC,6778
WNUK,6766
CZYŻEWSKI,6763
ZABOROWSKI,6744
LIPSKI,6741
ROSIAK,6728
WOJTCZAK,6710
WIĘCKOWSKI,6709
KMIECIK,6707
WALKOWIAK,6701
KWAŚNIEWSKI,6691
DĄBEK,6671
WÓJCICKI,6663
BOCHENEK,6643
KOŁODZIEJSKI,6589
BURZYŃSKI,6555
DRZEWIECKI,6546
JANAS,6545
PIETRAS,6532
KRYSIAK,6522
JUSZCZAK,6509
ZYGMUNT,6505
LASOTA,6494
ŻMUDA,6485
CEBULA,6482
KARWOWSKI,6481
MROCZEK,6478
SKRZYPEK,6436
CYGAN,6434
JĘDRZEJCZYK,6430
WROŃSKI,6414
PASTERNAK,6397
DĘBOWSKI,6388
FILIPEK,6386
KARAŚ,6382
MISIAK,6379
GAWEŁ,6373
GRUSZCZYŃSKI,6373
ŁUKASIEWICZ,6368
FLIS,6362
MASŁOWSKI,6355
ŁAPIŃSKI,6345
SZAFRAŃSKI,6343
ZAJĄCZKOWSKI,6326
BUJAK,6324
KAŁUŻA,6324
PIÓRKOWSKI,6310
PIWOWARCZYK,6286
BIELAWSKI,6279
FALKOWSKI,6271
JAGODZIŃSKI,6240
BOROWIEC,6230
JAGIEŁŁO,6226
JĘDRZEJCZAK,6217
KRAKOWIAK,6217
CZAPLA,6216
SKIBIŃSKI,6212
KAŁUŻNY,6200
GUTOWSKI,6194
ZIELONKA,6193
ŁUKASZEWSKI,6181
KUBACKI,6177
LISIECKI,6162
WILCZEK,6132
SOŁTYS,6102
DROZDOWSKI,6092
SOBIERAJ,6091
STELMACH,6090
WOŹNY,6072
JURKIEWICZ,6071
URBAŃCZYK,6057
DZIUBA,6053
TARNOWSKI,6052
SZCZEŚNIAK,6051
JAKUBIAK,6046
SKOCZYLAS,6045
ANDRZEJCZAK,6042
RACZYŃSKI,6042
TWARDOWSKI,6038
PILARSKI,6032
STRZELCZYK,6032
NOWACZYK,6029
PAKUŁA,6021
WASIAK,6016
KUBICA,6002
BARTOSIK,5996
CISZEWSKI,5980
GĄSIOROWSKI,5976
KĘDZIORA,5966
DUBIEL,5906
MIERZEJEWSKI,5898
BOBER,5887
GOŁĄB,5863
BILSKI,5862
GUZIK,5848
MAJCHER,5823
GÓRNIAK,5814
STANEK,5795
KOPCZYŃSKI,5784
MILCZAREK,5779
GÓRAL,5747
WIĘCEK,5726
FLOREK,5720
SZWED,5713
CHOLEWA,5712
STASZEWSKI,5697
KRUPIŃSKI,5687
STOLARCZYK,5687
MOTYKA,5677
SŁOWIŃSKI,5655
BURY,5649
RUSIN,5643
MISZTAL,5639
JAŚKIEWICZ,5634
MATUSZAK,5625
KASZUBA,5619
WOLAK,5619
GRZYWACZ,5616
BIAŁY,5609
KUCHTA,5606
KAPUSTA,5597
RUCIŃSKI,5597
FLORCZAK,5596
KUC,5593
PYTEL,5589
KULIG,5578
SIEDLECKI,5578
BOŻEK,5548
SIERADZKI,5535
KACZMARSKI,5529
PACZKOWSKI,5524
KOZA,5522
PROKOP,5519
NOGA,5518
MALICKI,5513
JEZIERSKI,5510
MICHAŁEK,5506
DOMINIAK,5505
ZWOLIŃSKI,5498
OLCZAK,5494
ZAGÓRSKI,5489
JANKOWIAK,5482
WOJTAS,5482
KĘPA,5481
SKÓRA,5477
GWÓŹDŹ,5471
ADAMUS,5443
STĘPNIAK,5442
GAŁKA,5438
SITEK,5433
ŚWIERCZYŃSKI,5430
IWAŃSKI,5429
DUDZIAK,5427
MODZELEWSKI,5427
PŁONKA,5422
SOCHACKI,5413
BIELAK,5405
SZYSZKA,5398
BIEŃKOWSKI,5396
DEC,5385
JACKOWSKI,5381
JANUSZ,5371
SŁAWIŃSKI,5369
DOBRZYŃSKI,5362
CZECHOWSKI,5358
DUDZIK,5346
KNAPIK,5340
PAWLIKOWSKI,5328
PARTYKA,5324
MAŃKOWSKI,5320
LIPKA,5307
STACHURA,5307
KOLASA,5304
BRODA,5299
JURKOWSKI,5294
FILIPOWICZ,5281
KWIECIŃSKI,5277
WOŚ,5251
ROSA,5243
MROCZKOWSKI,5235
SZCZERBA,5214
MAJKA,5206
ADAMCZAK,5197
STANISŁAWSKI,5192
SKALSKI,5188
MAŚLANKA,5179
SZATKOWSKI,5175
TRZECIAK,5175
WŁODARSKI,5172
ADAMEK,5170
KITA,5163
PASZKOWSKI,5150
MOLENDA,5148
KOWALCZUK,5138
SKOWRONEK,5136
PUCHALSKI,5123
CHMURA,5110
CHOJNOWSKI,5105
KIEŁBASA,5105
MICHALCZYK,5104
KRUSZEWSKI,5098
SALAMON,5095
ZDUNEK,5095
ŻUK,5076
KOBUS,5068
KOTOWSKI,5064
WYSZYŃSKI,5055
AUGUSTYN,5047
BUCZYŃSKI,5047
MROZEK,5044
KOGUT,5003
JANUSZEWSKI,4994
WARCHOŁ,4987
LENART,4986
ADAMIAK,4980
PIECHOTA,4973
NIEMCZYK,4968
DRABIK,4967
MARCHEWKA,4958
KOŁAKOWSKI,4951
BANASIK,4948
ROBAK,4945
CHUDY,4942
NIEDZIELSKI,4935
GŁOGOWSKI,4930
DRÓŻDŻ,4925
TOMALA,4923
STOLARSKI,4912
BUDZYŃSKI,4901
GRZESIK,4892
MACIĄG,4888
PILCH,4888
KAWA,4886
TOKARZ,4879
SOŁTYSIAK,4878
KŁOSOWSKI,4872
WYPYCH,4872
JARZĄBEK,4868
PIŁAT,4866
KOPER,4862
DĄBKOWSKI,4860
ADAMOWICZ,4859
NIEDŹWIECKI,4844
BĄKOWSKI,4838
PRZYBYŁ,4830
CHUDZIK,4826
GŁĄB,4825
KOS,4816
ŻYŁA,4816
JAGIELSKI,4812
KASPEREK,4805
MIŚKIEWICZ,4805
PORĘBSKI,4804
STAŃCZAK,4798
CZEKAJ,4796
SURMA,4793
FRĄTCZAK,4792
KANIEWSKI,4791
KALISZ,4789
JURCZAK,4788
WIĄCEK,4786
JAROS,4784
ZIĘTEK,4776
RUDZIŃSKI,4767
BUCZKOWSKI,4741
GORCZYCA,4736
TRACZ,4735
BARTNIK,4730
RYŚ,4723
GADOMSKI,4722
MALIK,4718
KUŹMA,4715
BALCERZAK,4699
KUCIŃSKI,4693
SOJKA,4672
STACHURSKI,4665
URBANEK,4665
SZELĄG,4663
GOLEC,4661
PRUS,4659
PIETRUSZKA,4648
